,eng,deu
0,I'm eating.,Ich esse.
1,I'm crazy.,Ich bin verrückt.
2,Get down!,Hinlegen!
3,Get out!,Raus!
4,Who ran?,Wer rannte?
5,I've eaten.,Ich habe gegessen.
6,She walks.,Sie geht zu Fuß.
7,Go ahead.,Mach weiter!
8,Leave now.,Geh jetzt!
9,They love us.,Sie lieben uns.
10,We sat there.,Wir saßen dort.
11,I like it.,Das gefällt mir.
12,Shadow him.,Folge ihm.
13,Tom's fast.,Tom ist schnell.
14,I'm thirsty.,Ich bin durstig.
15,Come get me.,Komm und hol mich.
16,He is hated.,Er wird gehasst.
17,It's gone.,Es ist verschwunden.
18,I'm not free.,Ich bin nicht frei.
19,He loves her.,Er liebt sie.
20,I had help.,Ich hatte Hilfe.
21,I was a fool.,Ich war ein Idiot.
22,I let him go.,Ich ließ ihn los.
23,Take a break.,Mach eine Pause.
24,Tom is nice.,Tom ist nett.
25,I'm anemic.,Ich habe Blutarmut.
26,Am I weird?,Bin ich komisch?
27,Tom prepaid.,Tom zahlte im Voraus.
28,Come aboard.,Kommt an Bord!
29,You go first.,Du zuerst.
30,Come quickly!,Komm schnell!
31,Beat it.,Verschwinde!
32,Tom squinted.,Tom hat geblinzelt.
33,That is all.,Das ist alles.
34,Tom's greedy.,Tom ist gierig.
35,I fell.,Ich fiel.
36,I'm 19.,Ich bin 19 Jahre alt.
37,I stopped.,Ich stoppte.
38,Get lost!,Zieh Leine!
39,What a woman!,Was für eine Frau!
40,I saw Tom.,Ich habe Tom gesehen.
41,Come inside.,Komm herein.
42,I hate that.,Ich hasse den.
43,Boil one egg.,Koche ein Ei!
44,He is driven.,Er ist ehrgeizig.
45,It was a bet.,Es war eine Wette.
46,Turn it on.,Schalte sie an.
47,Say please.,Sagen Sie „bitte“ .
48,Beat it.,Scher dich weg!
49,Tom saw me.,Tom sah mich.
50,I love rice.,Ich liebe Reis.
51,I don't know.,Ich weiß das nicht.
52,It's sand.,Es ist Sand.
53,Burn it.,Verbrennt es!
54,Is Tom busy?,Hat Tom viel zu tun?
55,It's alive.,Es lebt!
56,Don't come.,Kommt nicht!
57,Come quickly.,Kommen Sie schnell!
58,Do something.,Mach doch etwas!
59,It scares me.,Es macht mir Angst.
60,Aim higher.,Ziel höher!
61,Did Tom vote?,Hat Tom gewählt?
62,Did you vote?,Hast du gewählt?
63,Did you sign?,Hast du unterschrieben?
64,Did Tom die?,Ist Tom gestorben?
65,I'll pay.,Ich werde zahlen.
66,Here she is!,Hier ist sie!
67,That's a lot!,Das ist viel!
68,Keep them.,Behalte sie.
69,I'm ruthless.,Ich kenne kein Erbarmen.
70,Flip a coin.,Werft eine Münze.
71,Try the cake.,Probier den Kuchen.
72,I hear you.,"Ich weiß, was ihr meint."
73,Did you help?,Halfen Sie?
74,Can we stop?,Können wir aufhören?
75,I'm a monk.,Ich bin ein Mönch.
76,Choose one.,Such dir eine aus.
77,Is Tom lucid?,Ist Tom bei klarem Verstand?
78,Is it tasty?,Schmeckt es?
79,They relaxed.,Sie erholten sich.
80,Tom is lazy.,Tom ist faul.
81,I won't come.,Ich werde nicht kommen.
82,Catch me.,Fangen Sie mich!
83,I'm here now.,Ich bin jetzt hier.
84,Have another.,Nimm noch einen.
85,He's a liar.,Er ist ein Lügner!
86,You're next.,Du bist der Nächste.
87,Tom will go.,Tom wird gehen.
88,I'll be OK.,Es wird mir gut gehen.
89,I'll shoot.,Ich werde schießen.
90,Sign here.,Unterschreiben Sie hier.
91,Keep singing.,Sing weiter.
92,Tom sweated.,Tom schwitzte.
93,Don't go yet.,Geh noch nicht!
94,I sat down.,Ich setzte mich.
95,Check this.,Überprüfen Sie das.
96,We're clean.,Wir sind sauber.
97,I burned it.,Ich hab’s verbrannt.
98,I made a bet.,Ich schloss eine Wette ab.
99,Can I come?,Kann ich kommen?
100,I'm gullible.,Ich bin leichtgläubig.
101,Tom is awake.,Tom ist wach.
102,I helped.,Ich habe geholfen.
103,Come forward.,Tritt vor.
104,Wow!,Donnerwetter!
105,Keep warm.,Halten Sie sich warm.
106,Quiet down.,Seien Sie leise.
107,I winked.,Ich zwinkerte.
108,He is a DJ.,Er ist DJ.
109,Go inside.,Geh rein!
110,We're back.,Wir sind zurück.
111,Tom is obese.,Tom ist fettleibig.
112,You're sick!,Du bist krank!
113,I can do it.,Ich kann es schaffen.
114,Tom is vague.,Tom drückt sich vage aus.
115,Is it cancer?,Ist es Krebs?
116,I'm nervous.,Ich bin nervös.
117,I was lucky.,Glück gehabt!
118,I'm the last.,Ich bin die Letzte.
119,Try harder.,Gib dir größere Mühe.
120,May I go now?,Darf ich jetzt gehen?
121,We had lunch.,Wir haben Mittag gegessen.
122,It's my job.,Es ist mein Job.
123,"Hi, Tom.","Hallo, Tom!"
124,I think so.,Ich stimme dem zu.
125,Tom is right.,Tom hat recht.
126,Be serious.,Bleib mal auf dem Boden der Tatsachen!
127,I was hired.,Ich wurde eingestellt.
128,Look at me.,Sieh mich an.
129,Many thanks.,Danke sehr!
130,Turn around.,Dreh um.
131,Memorize it.,Prägen Sie es sich ein.
132,Listen to me.,Hör mir zu.
133,That's wise.,Das ist klug.
134,I got angry.,Ich wurde wütend.
135,We did it.,Wir haben es geschafft!
136,I ran home.,Ich lief nach Hause.
137,Take it.,Nehmen Sie es.
138,He's strong.,Er ist stark.
139,I hired Tom.,Ich habe Tom eingestellt.
140,She is upset.,Sie ist außer Fassung.
141,Go to work.,Gehe arbeiten!
142,I'm married.,Ich bin verheiratet.
143,I waved.,Ich habe gewunken.
144,Be discreet.,Seid diskret!
145,We like it.,Wir mögen es.
146,Trust me.,Vertrauen Sie mir!
147,Come early.,Kommen Sie frühzeitig.
148,Get upstairs.,Geh die Treppe hoch.
149,Don't stare.,Starrt nicht!
150,"Hello, Tom.","Hallo, Tom."
151,I will stay.,Ich werde bleiben.
152,I got it.,Ich hab's.
153,What's wrong?,Was ist das Problem?
154,Tom walks.,Tom geht zu Fuß.
155,Lie low.,Legen Sie sich hin!
156,We lost.,Wir haben verloren.
157,I love beef.,Ich liebe Rindfleisch.
158,Have fun.,Viel Spaß!
159,You're tidy.,Sie sind ordentlich.
160,I'm out here.,Ich bin hier draußen.
161,"Here, catch!","Da, fang!"
162,I'm unarmed.,Ich bin unbewaffnet.
163,She stood up.,Sie stand auf.
164,Don't get up.,Stehen Sie nicht auf.
165,Tom prayed.,Tom hat gebetet.
166,Sweet dreams.,Träum was Süßes!
167,Is Tom out?,Ist Tom ausgegangen?
168,Are we done?,Sind wir dann durch?
169,I got an A.,Ich habe eine Eins bekommen.
170,How awful!,Schrecklich!
171,I want eggs.,Ich will Eier.
172,It was real.,Es war real.
173,Hug Tom.,Drücken Sie Tom!
174,Who'll fight?,Wer wird kämpfen?
175,Follow him.,Folge ihm!
176,I'm busy.,Ich habe zu tun.
177,Is that snow?,Ist das Schnee?
178,Ignore them.,Ignoriere sie.
179,Tom is out.,Tom ist nicht hier.
180,Listen up.,Hör zu.
181,Tom did it.,Tom hat es geschafft.
182,Wait for Tom.,Warten Sie auf Tom!
183,Don't die.,Stirb nicht!
184,I see a boy.,Ich sehe einen Jungen.
185,I sympathize.,Ich fühle mit euch mit.
186,You decide.,Du bestimmst.
187,They agree.,Sie stimmen zu.
188,I like wine.,Ich mag Wein.
